Rank,Player,Avg Pick,Team,Pos,UID
1,LeSean McCoy,2.16,PHI,RB,LeSeanMcCoy1
2,Jamaal Charles,2.72,KCC,RB,JamaalCharles2
3,Calvin Johnson,5.47,DET,WR,CalvinJohnson3
4,Matt Forte,7.26,CHI,RB,MattForte4
5,Eddie Lacy,8.61,GBP,RB,EddieLacy5
6,Demaryius Thomas,8.81,DEN,WR,DemaryiusThomas6
7,Jimmy Graham,9.97,NOS,TE,JimmyGraham7
8,Dez Bryant,11.81,DAL,WR,DezBryant8
9,Peyton Manning,11.84,DEN,QB,PeytonManning9
10,A.J. Green,12.44,CIN,WR,AJGreen10
11,Julio Jones,15.46,ATL,WR,JulioJones11
12,Marshawn Lynch,15.58,SEA,RB,MarshawnLynch12
13,Brandon Marshall,16.19,CHI,WR,BrandonMarshall13
14,Montee Ball,17.48,DEN,RB,MonteeBall14
15,DeMarco Murray,17.60,DAL,RB,DeMarcoMurray15
16,Aaron Rodgers,17.71,GBP,QB,AaronRodgers16
17,Giovani Bernard,20.31,CIN,RB,GiovaniBernard17
18,Jordy Nelson,21.99,GBP,WR,JordyNelson18
19,Antonio Brown,22.61,PIT,WR,AntonioBrown19
20,Alshon Jeffery,23.43,CHI,WR,AlshonJeffery20
21,Drew Brees,24.31,NOS,QB,DrewBrees21
22,Arian Foster,25.15,HOU,RB,ArianFoster22
23,Le'Veon Bell,25.19,PIT,RB,LeVeonBell23
24,Doug Martin,25.25,TBB,RB,DougMartin24
25,Randall Cobb,27.55,GBP,WR,RandallCobb25
26,Julius Thomas,28.62,DEN,TE,JuliusThomas26
27,Rob Gronkowski,28.88,NEP,TE,RobGronkowski27
28,Zac Stacy,33.16,STL,RB,ZacStacy28
29,Alfred Morris,33.53,WAS,RB,AlfredMorris29
30,Andre Ellington,33.81,ARI,RB,AndreEllington30
31,Keenan Allen,33.90,SDC,WR,KeenanAllen31
32,Reggie Bush,37.42,DET,RB,ReggieBush32
33,Pierre Garcon,39.82,WAS,WR,PierreGarcon33
34,Andrew Luck,40.11,IND,QB,AndrewLuck34
35,Andre Johnson,41.07,HOU,WR,AndreJohnson35
36,Vincent Jackson,41.21,TBB,WR,VincentJackson36
37,Victor Cruz,41.53,NYG,WR,VictorCruz37
38,Matthew Stafford,41.68,DET,QB,MatthewStafford38
39,C.J. Spiller,42.05,BUF,RB,CJSpiller39
40,Larry Fitzgerald,43.09,ARI,WR,LarryFitzgerald40
41,Cordarrelle Patterson,44.92,MIN,WR,CordarrellePatterson41
42,Roddy White,47.50,ATL,WR,RoddyWhite42
43,Shane Vereen,48.36,NEP,RB,ShaneVereen43
44,Michael Crabtree,49.70,SFO,WR,MichaelCrabtree44
45,Percy Harvin,49.99,NYJ,WR,PercyHarvin45
46,Ryan Mathews,52.78,SDC,RB,RyanMathews46
47,Michael Floyd,53.77,ARI,WR,MichaelFloyd47
48,DeSean Jackson,54.27,WAS,WR,DeSeanJackson48
49,Jordan Cameron,55.70,CLE,TE,JordanCameron49
50,Toby Gerhart,56.68,JAC,RB,TobyGerhart50
51,T.Y. Hilton,57.39,IND,WR,TYHilton51
52,Nick Foles,59.50,PHI,QB,NickFoles52
53,Vernon Davis,59.64,SFO,TE,VernonDavis53
54,Rashad Jennings,60.03,NYG,RB,RashadJennings54
55,Wes Welker,61.42,DEN,WR,WesWelker55
56,Julian Edelman,62.28,NEP,WR,JulianEdelman56
57,Frank Gore,63.56,SFO,RB,FrankGore57
58,Ben Tate,63.85,PIT,RB,BenTate58
59,Torrey Smith,63.98,BAL,WR,TorreySmith59
60,Tom Brady,64.99,NEP,QB,TomBrady60
61,Chris Johnson,65.46,NYJ,RB,ChrisJohnson61
62,Bishop Sankey,66.37,TEN,RB,BishopSankey62
63,Joique Bell,68.36,DET,RB,JoiqueBell63
64,Trent Richardson,68.75,IND,RB,TrentRichardson64
65,Jeremy Maclin,69.74,PHI,WR,JeremyMaclin65
66,Jason Witten,70.53,DAL,TE,JasonWitten66
67,Matt Ryan,70.75,ATL,QB,MattRyan67
68,Emmanuel Sanders,70.84,DEN,WR,EmmanuelSanders68
69,Cam Newton,72.35,CAR,QB,CamNewton69
70,Marques Colston,76.39,NOS,WR,MarquesColston70
71,Mike Wallace,77.21,MIA,WR,MikeWallace71
72,Kendall Wright,77.62,TEN,WR,KendallWright72
73,Sammy Watkins,79.24,BUF,WR,SammyWatkins73
74,Eric Decker,79.85,NYJ,WR,EricDecker74
76,Jordan Reed,82.48,WAS,TE,JordanReed76
77,Pierre Thomas,85.18,NOS,RB,PierreThomas77
78,Kyle Rudolph,86.62,MIN,TE,KyleRudolph78
79,Colin Kaepernick,87.18,SFO,QB,ColinKaepernick79
80,Robert Griffin III,87.99,WAS,QB,RobertGriffinIII80
81,Greg Olsen,88.11,CAR,TE,GregOlsen81
