Rank,Player,Avg Pick,Team,Pos,UID
1,Le'Veon Bell,3.03,PIT,RB,LeVeonBell1
2,Ezekiel Elliott,3.93,DAL,RB,EzekielElliott2
3,David Johnson,4.12,ARI,RB,DavidJohnson3
4,Antonio Brown,5.90,PIT,WR,AntonioBrown4
5,Alvin Kamara,6.83,NOS,RB,AlvinKamara5
6,Saquon Barkley,8.20,NYG,RB,SaquonBarkley6
7,DeAndre Hopkins,9.87,HOU,WR,DeAndreHopkins7
8,Todd Gurley,10.38,LAR,RB,ToddGurley8
9,Leonard Fournette,10.63,JAC,RB,LeonardFournette9
10,Odell Beckham,11.11,NYG,WR,OdellBeckham10
11,Kareem Hunt,11.83,FA*,RB,KareemHunt11
12,Melvin Gordon,12.99,LAC,RB,MelvinGordon12
13,Dalvin Cook,13.82,MIN,RB,DalvinCook13
14,Julio Jones,14.23,ATL,WR,JulioJones14
15,Michael Thomas,17.02,NOS,WR,MichaelThomas15
16,Christian McCaffrey,17.15,CAR,RB,ChristianMcCaffrey16
17,Davante Adams,19.01,GBP,WR,DavanteAdams17
18,Keenan Allen,19.25,LAC,WR,KeenanAllen18
19,Aaron Rodgers,22.23,GBP,QB,AaronRodgers19
20,Rob Gronkowski,22.44,NEP,TE,RobGronkowski20
21,Mike Evans,25.86,TBB,WR,MikeEvans21
22,Joe Mixon,26.29,CIN,RB,JoeMixon22
23,Travis Kelce,27.66,KCC,TE,TravisKelce23
24,Tyreek Hill,27.75,KCC,WR,TyreekHill24
25,Jordan Howard,28.04,CHI,RB,JordanHoward25
26,Stefon Diggs,32.83,MIN,WR,StefonDiggs26
27,LeSean McCoy,33.96,BUF,RB,LeSeanMcCoy27
28,T.Y. Hilton,34.56,IND,WR,TYHilton28
29,Deshaun Watson,37.64,HOU,QB,DeshaunWatson29
30,Amari Cooper,39.29,DAL,WR,AmariCooper30
31,Adam Thielen,41.25,MIN,WR,AdamThielen31
32,Zach Ertz,41.26,PHI,TE,ZachErtz32
33,Jarvis Landry,41.73,CLE,WR,JarvisLandry33
34,Larry Fitzgerald,43.73,ARI,WR,LarryFitzgerald34
35,Tom Brady,43.82,NEP,QB,TomBrady35
36,JuJu Smith-Schuster,44.10,PIT,WR,JuJuSmithSchuster36
37,Russell Wilson,44.46,SEA,QB,RussellWilson37
38,Doug Baldwin,45.27,SEA,WR,DougBaldwin38
39,Brandin Cooks,45.45,LAR,WR,BrandinCooks39
40,Kenyan Drake,46.64,MIA,RB,KenyanDrake40
41,Allen Robinson,51.29,CHI,WR,AllenRobinson41
42,Derrick Henry,52.82,TEN,RB,DerrickHenry42
43,Lamar Miller,55.18,HOU,RB,LamarMiller43
44,Cam Newton,57.80,CAR,QB,CamNewton44
45,Royce Freeman,58.08,DEN,RB,RoyceFreeman45
46,Jimmy Graham,59.94,GBP,TE,JimmyGraham46
47,Golden Tate,61.34,PHI,WR,GoldenTate47
48,Chris Hogan,62.95,NEP,WR,ChrisHogan48
49,Drew Brees,64.76,NOS,QB,DrewBrees49
50,Evan Engram,65.48,NYG,TE,EvanEngram50
51,Mark Ingram,66.04,NOS,RB,MarkIngram51
52,Corey Davis,67.34,TEN,WR,CoreyDavis52
53,Alshon Jeffery,67.77,PHI,WR,AlshonJeffery53
54,Sony Michel,69.67,NEP,RB,SonyMichel54
55,Carson Wentz,69.98,PHI,QB,CarsonWentz55
56,Jamaal Williams,72.99,GBP,RB,JamaalWilliams56
57,Sammy Watkins,78.16,KCC,WR,SammyWatkins57
58,Dion Lewis,78.83,TEN,RB,DionLewis58
59,Julian Edelman,80.08,NEP,WR,JulianEdelman59
60,Michael Crabtree,81.41,BAL,WR,MichaelCrabtree60
61,Rex Burkhead,81.54,NEP,RB,RexBurkhead61
62,Tevin Coleman,81.66,ATL,RB,TevinColeman62
63,Kirk Cousins,82.00,MIN,QB,KirkCousins63
64,Carlos Hyde,83.34,JAC,RB,CarlosHyde64
65,Kyle Rudolph,84.21,MIN,TE,KyleRudolph65
66,Andrew Luck,85.03,IND,QB,AndrewLuck66
68,Rashaad Penny,86.74,SEA,RB,RashaadPenny68
69,Marquise Goodwin,87.31,SFO,WR,MarquiseGoodwin69
70,Jordy Nelson,87.70,OAK,WR,JordyNelson70
