Rank,Player,Avg Pick,Team,Pos,UID
1,Saquon Barkley,1.47,NYG,RB,SaquonBarkley1
2,Alvin Kamara,2.74,NOS,RB,AlvinKamara2
3,Christian McCaffrey,2.76,CAR,RB,ChristianMcCaffrey3
4,Ezekiel Elliott,5.41,DAL,RB,EzekielElliott4
5,DeAndre Hopkins,6.16,HOU,WR,DeAndreHopkins5
6,Davante Adams,9.18,GBP,WR,DavanteAdams6
7,David Johnson,10.20,ARI,RB,DavidJohnson7
8,James Conner,10.36,PIT,RB,JamesConner8
9,Le'Veon Bell,10.84,NYJ,RB,LeVeonBell9
10,Michael Thomas,11.67,NOS,WR,MichaelThomas10
11,Julio Jones,12.61,ATL,WR,JulioJones11
12,Odell Beckham,13.66,CLE,WR,OdellBeckham12
13,Patrick Mahomes,13.83,KCC,QB,PatrickMahomes13
14,Todd Gurley,14.28,LAR,RB,ToddGurley14
15,JuJu Smith-Schuster,15.17,PIT,WR,JuJuSmithSchuster15
16,Travis Kelce,16.33,KCC,TE,TravisKelce16
17,Nick Chubb,16.69,CLE,RB,NickChubb17
18,Dalvin Cook,17.02,MIN,RB,DalvinCook18
19,Tyreek Hill,19.06,KCC,WR,TyreekHill19
20,Joe Mixon,19.79,CIN,RB,JoeMixon20
21,Leonard Fournette,25.96,JAC,RB,LeonardFournette21
22,Damien Williams,27.50,KCC,RB,DamienWilliams22
23,Zach Ertz,27.84,PHI,TE,ZachErtz23
24,Adam Thielen,28.01,MIN,WR,AdamThielen24
25,Keenan Allen,30.19,LAC,WR,KeenanAllen25
26,Stefon Diggs,31.28,MIN,WR,StefonDiggs26
27,George Kittle,32.42,SFO,TE,GeorgeKittle27
28,Aaron Jones,32.50,GBP,RB,AaronJones28
29,Amari Cooper,32.81,DAL,WR,AmariCooper29
30,Deshaun Watson,34.21,HOU,QB,DeshaunWatson30
31,Melvin Gordon,34.93,LAC,RB,MelvinGordon31
32,Josh Jacobs,38.33,OAK,RB,JoshJacobs32
33,Brandin Cooks,38.88,LAR,WR,BrandinCooks33
34,Devonta Freeman,38.89,ATL,RB,DevontaFreeman34
35,Derrick Henry,40.70,TEN,RB,DerrickHenry35
36,Marlon Mack,40.93,IND,RB,MarlonMack36
37,T.Y. Hilton,42.03,IND,WR,TYHilton37
38,Aaron Rodgers,43.48,GBP,QB,AaronRodgers38
39,Julian Edelman,43.93,NEP,WR,JulianEdelman39
40,Robert Woods,45.48,LAR,WR,RobertWoods40
41,Sony Michel,47.19,NEP,RB,SonyMichel41
42,David Montgomery,48.01,CHI,RB,DavidMontgomery42
43,Tyler Lockett,48.44,SEA,WR,TylerLockett43
44,Mark Ingram,48.86,BAL,RB,MarkIngram44
45,Baker Mayfield,52.56,CLE,QB,BakerMayfield45
46,Kenny Golladay,52.65,DET,WR,KennyGolladay46
47,Chris Godwin,52.88,TBB,WR,ChrisGodwin47
48,Phillip Lindsay,53.53,DEN,RB,PhillipLindsay48
49,Calvin Ridley,54.62,ATL,WR,CalvinRidley49
50,Cooper Kupp,57.47,LAR,WR,CooperKupp50
51,Matt Ryan,58.46,ATL,QB,MattRyan51
52,O.J. Howard,59.36,TBB,TE,OJHoward52
53,Tyler Boyd,61.14,CIN,WR,TylerBoyd53
54,James White,61.21,NEP,RB,JamesWhite54
55,Mike Williams,63.07,LAC,WR,MikeWilliams55
56,D.J. Moore,65.49,CAR,WR,DJMoore56
57,Jarvis Landry,66.88,CLE,WR,JarvisLandry57
58,Hunter Henry,68.33,LAC,TE,HunterHenry58
59,A.J. Green,68.91,CIN,WR,AJGreen59
60,Carson Wentz,69.35,PHI,QB,CarsonWentz60
61,Tarik Cohen,69.40,CHI,RB,TarikCohen61
62,Russell Wilson,72.20,SEA,QB,RussellWilson62
63,Tevin Coleman,73.80,SFO,RB,TevinColeman63
64,Allen Robinson,73.99,CHI,WR,AllenRobinson64
65,Drew Brees,75.61,NOS,QB,DrewBrees65
66,Robby Anderson,79.58,NYJ,WR,RobbyAnderson66
67,Jared Cook,80.04,NOS,TE,JaredCook67
68,Corey Davis,80.06,TEN,WR,CoreyDavis68
69,Austin Ekeler,80.11,LAC,RB,AustinEkeler69
70,Miles Sanders,82.73,PHI,RB,MilesSanders70
71,Jared Goff,84.95,LAR,QB,JaredGoff71
72,Cam Newton,85.13,CAR,QB,CamNewton72
73,Kenyan Drake,85.26,ARI,RB,KenyanDrake73
74,Jordan Howard,87.33,PHI,RB,JordanHoward74
75,Will Fuller,88.61,HOU,WR,WillFuller75
76,Sterling Shepard,88.61,NYG,WR,SterlingShepard76
78,Sammy Watkins,92.72,KCC,WR,SammyWatkins78
79,Duke Johnson,94.37,HOU,RB,DukeJohnson79
80,Vance McDonald,94.78,PIT,TE,VanceMcDonald80
81,Jameis Winston,97.04,TBB,QB,JameisWinston81
82,Dede Westbrook,98.00,JAC,WR,DedeWestbrook82
83,David Njoku,98.54,CLE,TE,DavidNjoku83
84,Larry Fitzgerald,99.12,ARI,WR,LarryFitzgerald84
85,Dante Pettis,99.37,SFO,WR,DantePettis85
86,Emmanuel Sanders,99.46,SFO,WR,EmmanuelSanders86
87,Christian Kirk,99.99,ARI,WR,ChristianKirk87
88,Marvin Jones,100.13,DET,WR,MarvinJones88
89,Courtland Sutton,100.22,DEN,WR,CourtlandSutton89
90,Tom Brady,101.60,NEP,QB,TomBrady90
91,Latavius Murray,102.24,NOS,RB,LataviusMurray91
92,LeSean McCoy,105.07,KCC,RB,LeSeanMcCoy92
93,Dak Prescott,105.54,DAL,QB,DakPrescott93
94,Kyler Murray,105.55,ARI,QB,KylerMurray94
95,Lamar Jackson,106.63,BAL,QB,LamarJackson95
96,Austin Hooper,106.85,ATL,TE,AustinHooper96
97,Kareem Hunt,108.44,CLE,RB,KareemHunt97
98,Curtis Samuel,109.46,CAR,WR,CurtisSamuel98
99,Devin Singletary,111.96,BUF,RB,DevinSingletary99
100,Philip Rivers,113.96,LAC,QB,PhilipRivers100
102,Royce Freeman,116.86,DEN,RB,RoyceFreeman102
103,Geronimo Allison,118.46,GBP,WR,GeronimoAllison103
104,Kirk Cousins,118.78,MIN,QB,KirkCousins104
105,Peyton Barber,119.34,TBB,RB,PeytonBarber105
107,Marquez Valdes-Scantling,120.22,GBP,WR,MarquezValdesScantling107
