,Player,Pos,Games,ADP,Pass Comp,Pass Att,Pass Yds,Pass Yds Per Game,Pass Yds Avg,Pass TD,Pass TD Per Game,Int,Rush Att,Rush Yds,Rush Yds Per Game,Rush Yds Avg,Rush TD,Rush TD Per Game,Rec,Rec Yds,Rec Yds Per Game,Rec Yds Avg,Rec TD,Rec TD Per Game,Fumbles Lost,Fantasy Total,Fantasy Avg,UID,Rush Avg,Rec Avg
0,Nelson Agholor,WR,16,110.76,0,0,0,0,0,0,0,0,3,32,2,0,0,0,64,736,46,0,4,0.25,0,100.8,6.3,NelsonAgholor92,10.66666667,11.5
0,Randall Cobb,WR,16,110.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,383,23.9375,0,2,0.125,1,48.3,3.01875,RandallCobb93,10.07894737,
0,David Njoku,TE,16,113.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,639,39.9375,0,4,0.25,0,87.9,5.49375,DavidNjoku95,11.41071429,
0,Sterling Shepard,WR,16,117.15,0,0,0,0,0,0,0,0,3,33,2.0625,0,0,0,66,872,54.5,0,4,0.25,0,114.5,7.15625,SterlingShepard96,11,13.21212121
0,Peyton Barber,RB,16,117.73,0,0,0,0,0,0,0,0,234,871,54.4375,0,5,0.3125,20,92,5.75,0,1,0.0625,1,130.3,8.14375,PeytonBarber97,3.722222222,4.6
0,Kenny Stills,WR,16,118.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,553,34.5625,0,6,0.375,0,91.3,5.70625,KennyStills98,14.94594595,
0,Nick Chubb,RB,16,122.7,0,0,0,0,0,0,0,0,192,996,62.25,0,8,0.5,20,149,9.3125,0,2,0.125,0,174.5,10.90625,NickChubb100,5.1875,7.45
0,Dak Prescott,QB,16,123.94,356,526,3885,242.8125,10.91292135,22,1.375,8,75,305,19.0625,0,6,0.375,0,0,0,0,0,0,6,281.9,17.61875,DakPrescott102,4.066666667,
0,James White,RB,16,126.14,0,0,0,0,0,0,0,0,94,425,26.5625,0,5,0.3125,87,751,46.9375,0,7,0.4375,0,189.6,11.85,JamesWhite103,4.521276596,8.632183908
0,Marcus Mariota,QB,16,126.26,228,331,2528,158,11.0877193,11,0.6875,8,64,357,22.3125,0,2,0.125,0,0,0,0,0,0,2,172.82,10.80125,MarcusMariota104,5.578125,
0,Alfred Morris,RB,16,127.26,0,0,0,0,0,0,0,0,111,428,26.75,0,2,0.125,8,73,4.5625,0,0,0,1,60.1,3.75625,AlfredMorris105,3.855855856,9.125
0,Kelvin Benjamin,WR,16,130.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,380,23.75,0,1,0.0625,0,44,2.75,KelvinBenjamin106,15.2,
0,Keelan Cole,WR,16,130.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,491,30.6875,0,1,0.0625,2,51.1,3.19375,KeelanCole107,12.92105263,
0,D.J. Moore,WR,16,131.08,0,0,0,0,0,0,0,0,13,172,10.75,0,0,0,55,788,49.25,0,2,0.125,3,102,6.375,DJMoore109,13.23076923,14.32727273
0,Derek Carr,QB,16,131.21,381,553,4049,253.0625,10.62729659,19,1.1875,10,24,47,2.9375,0,1,0.0625,0,0,0,0,0,0,7,214.66,13.41625,DerekCarr110,1.958333333,
0,Calvin Ridley,WR,16,131.85,0,0,0,0,0,0,0,0,6,27,1.6875,0,0,0,64,821,51.3125,0,10,0.625,1,142.8,8.925,CalvinRidley111,4.5,12.828125
0,George Kittle,TE,16,133.19,0,0,0,0,0,0,0,0,1,10,0.625,0,0,0,88,1377,86.0625,0,5,0.3125,0,168.7,10.54375,GeorgeKittle112,10,15.64772727
0,Mike Williams,WR,16,133.98,0,0,0,0,0,0,0,0,7,28,1.75,0,1,0.0625,43,664,41.5,0,10,0.625,0,135.2,8.45,MikeWilliams114,4,15.44186047
0,Giovani Bernard,RB,16,134.91,0,0,0,0,0,0,0,0,56,211,13.1875,0,3,0.1875,35,218,13.625,0,0,0,0,60.9,3.80625,GiovaniBernard116,3.767857143,6.228571429
0,C.J. Anderson,RB,12,135.8,0,0,0,0,0,0,0,0,67,403,33.58333333,0,2,0.166666667,5,41,3.416666667,0,1,0.083333333,0,62.4,5.2,CJAnderson117,6.014925373,8.2
0,Devontae Booker,RB,16,139.65,0,0,0,0,0,0,0,0,34,183,11.4375,0,1,0.0625,38,275,17.1875,0,0,0,1,49.8,3.1125,DevontaeBooker118,5.382352941,7.236842105
0,Jameis Winston,QB,13,140.21,244,378,2992,230.1538462,12.26229508,19,1.461538462,14,49,281,21.61538462,0,1,0.076923077,0,0,0,0,0,0,3,195.78,15.06,JameisWinston119,5.734693878,
