Rank,Player,Avg Pick,Team,Pos,UID
1,Le'Veon Bell,2.36,PIT,RB,LeVeonBell1
2,Antonio Brown,4.14,PIT,WR,AntonioBrown2
3,Julio Jones,6.87,ATL,WR,JulioJones3
4,Mike Evans,8.36,TBB,WR,MikeEvans4
5,A.J. Green,10.60,CIN,WR,AJGreen5
6,Melvin Gordon,10.94,LAC,RB,MelvinGordon6
7,Ezekiel Elliott,11.21,DAL,RB,EzekielElliott7
8,Devonta Freeman,11.71,ATL,RB,DevontaFreeman8
9,LeSean McCoy,11.86,BUF,RB,LeSeanMcCoy9
10,Jordy Nelson,14.06,GBP,WR,JordyNelson10
11,Michael Thomas,15.40,NOS,WR,MichaelThomas11
12,Jordan Howard,17.16,CHI,RB,JordanHoward12
13,Jay Ajayi,18.30,PHI,RB,JayAjayi13
14,Amari Cooper,18.98,OAK,WR,AmariCooper14
15,Todd Gurley,19.77,LAR,RB,ToddGurley15
16,Rob Gronkowski,19.97,NEP,TE,RobGronkowski16
17,DeMarco Murray,20.86,TEN,RB,DeMarcoMurray17
18,Dez Bryant,21.16,DAL,WR,DezBryant18
19,T.Y. Hilton,22.75,IND,WR,TYHilton19
20,Brandin Cooks,24.25,NEP,WR,BrandinCooks20
21,Leonard Fournette,24.71,JAC,RB,LeonardFournette21
22,Doug Baldwin,26.81,SEA,WR,DougBaldwin22
23,DeAndre Hopkins,27.96,HOU,WR,DeAndreHopkins23
24,Tom Brady,29.95,NEP,QB,TomBrady24
25,Lamar Miller,31.78,HOU,RB,LamarMiller25
26,Christian McCaffrey,33.06,CAR,RB,ChristianMcCaffrey26
27,Travis Kelce,33.78,KCC,TE,TravisKelce27
28,Demaryius Thomas,34.83,DEN,WR,DemaryiusThomas28
29,Keenan Allen,36.67,LAC,WR,KeenanAllen29
30,Isaiah Crowell,38.72,CLE,RB,IsaiahCrowell30
31,Alshon Jeffery,41.17,PHI,WR,AlshonJeffery31
32,Case Keenum,41.55,MIN,QB,CaseKeenum32
33,Drew Brees,42.50,NOS,QB,DrewBrees33
34,Davante Adams,42.53,GBP,WR,DavanteAdams34
35,Joe Mixon,43.12,CIN,RB,JoeMixon35
36,Marshawn Lynch,44.53,OAK,RB,MarshawnLynch36
37,Tyreek Hill,45.64,KCC,WR,TyreekHill37
38,Carlos Hyde,45.67,SFO,RB,CarlosHyde38
39,Michael Crabtree,49.05,OAK,WR,MichaelCrabtree39
40,Jarvis Landry,49.81,MIA,WR,JarvisLandry40
