Rank,Player,Avg Pick,Team,Pos,UID
1,Le'Veon Bell,2.78,PIT,RB,LeVeonBell1
2,Antonio Brown,4.41,PIT,WR,AntonioBrown2
3,Eddie Lacy,5.71,GBP,RB,EddieLacy3
4,Jamaal Charles,6.12,KCC,RB,JamaalCharles4
5,Adrian Peterson,6.26,MIN,RB,AdrianPeterson5
6,Odell Beckham,7.33,NYG,WR,OdellBeckham6
7,Dez Bryant,8.88,DAL,WR,DezBryant7
8,Julio Jones,9.40,ATL,WR,JulioJones8
9,Rob Gronkowski,9.48,NEP,TE,RobGronkowski9
10,Demaryius Thomas,11.32,DEN,WR,DemaryiusThomas10
11,Marshawn Lynch,13.17,SEA,RB,MarshawnLynch11
12,Matt Forte,15.25,CHI,RB,MattForte12
13,Calvin Johnson,15.71,DET,WR,CalvinJohnson13
14,C.J. Anderson,16.48,DEN,RB,CJAnderson14
15,Andrew Luck,16.62,IND,QB,AndrewLuck15
16,DeMarco Murray,16.81,PHI,RB,DeMarcoMurray16
17,A.J. Green,18.03,CIN,WR,AJGreen17
18,Jeremy Hill,19.63,CIN,RB,JeremyHill18
19,LeSean McCoy,19.75,BUF,RB,LeSeanMcCoy19
20,Randall Cobb,20.56,GBP,WR,RandallCobb20
21,Aaron Rodgers,22.12,GBP,QB,AaronRodgers21
22,Alshon Jeffery,24.56,CHI,WR,AlshonJeffery22
23,Mike Evans,25.13,TBB,WR,MikeEvans23
24,T.Y. Hilton,26.21,IND,WR,TYHilton24
25,Justin Forsett,29.70,BAL,RB,JustinForsett25
26,DeAndre Hopkins,30.43,HOU,WR,DeAndreHopkins26
27,Brandin Cooks,30.68,NOS,WR,BrandinCooks27
28,Jimmy Graham,30.72,SEA,TE,JimmyGraham28
29,Lamar Miller,31.71,MIA,RB,LamarMiller29
30,Emmanuel Sanders,34.60,DEN,WR,EmmanuelSanders30
31,Jordan Matthews,35.74,PHI,WR,JordanMatthews31
32,Mark Ingram,36.33,NOS,RB,MarkIngram32
33,Melvin Gordon,36.59,SDC,RB,MelvinGordon33
34,Frank Gore,41.01,IND,RB,FrankGore34
35,Carlos Hyde,41.41,SFO,RB,CarlosHyde35
36,Alfred Morris,43.89,WAS,RB,AlfredMorris36
37,Arian Foster,43.94,HOU,RB,ArianFoster37
38,Latavius Murray,44.92,OAK,RB,LataviusMurray38
39,Amari Cooper,46.21,OAK,WR,AmariCooper39
40,Keenan Allen,46.80,SDC,WR,KeenanAllen40
41,Julian Edelman,47.24,NEP,WR,JulianEdelman41
42,Todd Gurley,47.46,STL,RB,ToddGurley42
43,Golden Tate,48.50,DET,WR,GoldenTate43
44,Andre Ellington,50.00,ARI,RB,AndreEllington44
45,Travis Kelce,50.59,KCC,TE,TravisKelce45
46,Russell Wilson,50.88,SEA,QB,RussellWilson46
47,Sammy Watkins,51.15,BUF,WR,SammyWatkins47
48,Andre Johnson,53.66,IND,WR,AndreJohnson48
49,Jonathan Stewart,54.49,CAR,RB,JonathanStewart49
50,C.J. Spiller,55.81,NOS,RB,CJSpiller50
51,Jarvis Landry,56.24,MIA,WR,JarvisLandry51
52,Greg Olsen,56.39,CAR,TE,GregOlsen52
53,Jeremy Maclin,57.38,KCC,WR,JeremyMaclin53
54,Brandon Marshall,58.35,NYJ,WR,BrandonMarshall54
55,T.J. Yeldon,59.05,JAC,RB,TJYeldon55
56,Peyton Manning,59.42,DEN,QB,PeytonManning56
57,Ameer Abdullah,60.27,DET,RB,AmeerAbdullah57
58,Giovani Bernard,62.94,CIN,RB,GiovaniBernard58
59,Martavis Bryant,63.38,PIT,WR,MartavisBryant59
60,Joseph Randle,64.03,FA*,RB,JosephRandle60
61,Allen Robinson,64.32,JAC,WR,AllenRobinson61
62,DeSean Jackson,65.39,WAS,WR,DeSeanJackson62
63,Drew Brees,66.62,NOS,QB,DrewBrees63
64,Ben Roethlisberger,68.99,PIT,QB,BenRoethlisberger64
65,Martellus Bennett,74.06,CHI,TE,MartellusBennett65
66,Doug Martin,75.89,TBB,RB,DougMartin66
67,Matt Ryan,76.75,ATL,QB,MattRyan67
68,Joique Bell,77.11,DET,RB,JoiqueBell68
69,Davante Adams,77.73,GBP,WR,DavanteAdams69
70,Nelson Agholor,78.41,PHI,WR,NelsonAgholor70
71,Vincent Jackson,79.08,TBB,WR,VincentJackson71
72,Tevin Coleman,81.58,ATL,RB,TevinColeman72
73,Charles Johnson,83.04,MIN,WR,CharlesJohnson73
74,Mike Wallace,83.30,MIN,WR,MikeWallace74
75,Isaiah Crowell,83.88,CLE,RB,IsaiahCrowell75
76,Cam Newton,85.58,CAR,QB,CamNewton76
77,LeGarrette Blount,86.47,NEP,RB,LeGarretteBlount77
78,Shane Vereen,86.93,NYG,RB,ShaneVereen78
79,Julius Thomas,87.08,JAC,TE,JuliusThomas79
80,Roddy White,87.56,ATL,WR,RoddyWhite80
81,Rashad Jennings,90.95,NYG,RB,RashadJennings81
82,Tom Brady,91.27,NEP,QB,TomBrady82
83,Larry Fitzgerald,91.58,ARI,WR,LarryFitzgerald83
84,Tony Romo,92.04,DAL,QB,TonyRomo84
85,Tre Mason,93.10,STL,RB,TreMason85
86,Chris Ivory,93.36,NYJ,RB,ChrisIvory86
87,Matthew Stafford,93.38,DET,QB,MatthewStafford87
88,Michael Floyd,95.53,ARI,WR,MichaelFloyd88
89,Torrey Smith,96.26,SFO,WR,TorreySmith89
90,Eric Decker,96.29,NYJ,WR,EricDecker90
91,Ryan Tannehill,96.39,MIA,QB,RyanTannehill91
92,Jordan Cameron,96.60,MIA,TE,JordanCameron92
93,Zach Ertz,98.19,PHI,TE,ZachErtz93
94,Devonta Freeman,98.92,ATL,RB,DevontaFreeman94
95,John Brown,99.40,ARI,WR,JohnBrown95
96,Victor Cruz,102.01,NYG,WR,VictorCruz96
97,Duke Johnson,102.49,CLE,RB,DukeJohnson97
98,Steve Smith,104.02,BAL,WR,SteveSmith98
99,Ryan Mathews,104.96,PHI,RB,RyanMathews99
100,Brandon LaFell,105.28,NEP,WR,BrandonLaFell100
101,Jason Witten,107.54,DAL,TE,JasonWitten101
102,Bishop Sankey,108.04,TEN,RB,BishopSankey102
103,Anquan Boldin,108.66,SFO,WR,AnquanBoldin103
104,Eli Manning,109.85,NYG,QB,EliManning104
105,Kendall Wright,110.32,TEN,WR,KendallWright105
106,DeVante Parker,110.94,MIA,WR,DeVanteParker106
107,Darren McFadden,114.12,DAL,RB,DarrenMcFadden107
109,Philip Rivers,115.54,SDC,QB,PhilipRivers109
110,Breshad Perriman,115.58,BAL,WR,BreshadPerriman110
111,Tyler Eifert,117.64,CIN,TE,TylerEifert111
112,Delanie Walker,119.44,TEN,TE,DelanieWalker112
113,Pierre Garcon,120.84,WAS,WR,PierreGarcon113
114,Jay Ajayi,125.19,MIA,RB,JayAjayi114
115,Danny Woodhead,125.45,SDC,RB,DannyWoodhead115
116,Marques Colston,125.73,NOS,WR,MarquesColston116
117,Teddy Bridgewater,125.90,MIN,QB,TeddyBridgewater117
118,Sam Bradford,127.94,PHI,QB,SamBradford118
119,David Johnson,128.21,ARI,RB,DavidJohnson119
121,Charles Sims,128.91,TBB,RB,CharlesSims121
122,David Cobb,129.41,TEN,RB,DavidCobb122
123,Kenny Stills,130.12,MIA,WR,KennyStills123
124,Knile Davis,130.23,KCC,RB,KnileDavis124
126,Antonio Gates,131.50,SDC,TE,AntonioGates126
127,Devin Funchess,132.51,CAR,WR,DevinFunchess127
128,Austin Seferian-Jenkins,133.75,TBB,TE,AustinSeferianJenkins128
129,Brian Quick,133.79,STL,WR,BrianQuick129
130,Dwayne Allen,134.55,IND,TE,DwayneAllen130
132,Dorial Green-Beckham,134.83,TEN,WR,DorialGreenBeckham132
133,Kyle Rudolph,134.85,MIN,TE,KyleRudolph133
134,Terrance Williams,135.69,DAL,WR,TerranceWilliams134
135,Alfred Blue,138.28,HOU,RB,AlfredBlue135
136,Reggie Bush,138.84,SFO,RB,ReggieBush136
137,Josh Hill,140.58,NOS,TE,JoshHill137
138,Owen Daniels,141.21,DEN,TE,OwenDaniels138
139,Colin Kaepernick,141.50,SFO,QB,ColinKaepernick139
140,Donte Moncrief,142.06,IND,WR,DonteMoncrief140
142,Darren Sproles,144.05,PHI,RB,DarrenSproles142
143,Joe Flacco,144.56,BAL,QB,JoeFlacco143
144,Cody Latimer,145.16,DEN,WR,CodyLatimer144
145,Rueben Randle,147.79,NYG,WR,RuebenRandle145
146,Jerick McKinnon,150.03,MIN,RB,JerickMcKinnon146
147,Eddie Royal,150.23,CHI,WR,EddieRoyal147
148,Percy Harvin,150.38,BUF,WR,PercyHarvin148
149,Eric Ebron,151.26,DET,TE,EricEbron149
151,Roy Helu,152.32,OAK,RB,RoyHelu151
152,Michael Crabtree,152.76,OAK,WR,MichaelCrabtree152
153,Stevie Johnson,153.47,SDC,WR,StevieJohnson153
154,Carson Palmer,153.57,ARI,QB,CarsonPalmer154
155,Jameis Winston,153.95,TBB,QB,JameisWinston155
156,Andre Williams,155.33,NYG,RB,AndreWilliams156
157,Coby Fleener,155.96,IND,TE,CobyFleener157
158,Markus Wheaton,157.01,PIT,WR,MarkusWheaton158
159,Marvin Jones,157.57,CIN,WR,MarvinJones159
160,Jay Cutler,158.39,CHI,QB,JayCutler160
165,Matt Jones,162.15,WAS,RB,MattJones165
167,Andy Dalton,163.80,CIN,QB,AndyDalton167
168,Marcus Mariota,164.24,TEN,QB,MarcusMariota168
169,Montee Ball,164.73,FA*,RB,MonteeBall169
170,Doug Baldwin,165.00,SEA,WR,DougBaldwin170
172,Derek Carr,165.35,OAK,QB,DerekCarr172
174,Jordan Reed,165.70,WAS,TE,JordanReed174
175,Larry Donnell,165.86,NYG,TE,LarryDonnell175
176,Phillip Dorsett,166.17,IND,WR,PhillipDorsett176
177,Vernon Davis,168.13,DEN,TE,VernonDavis177
180,DeAngelo Williams,169.04,PIT,RB,DeAngeloWilliams180
181,Dion Lewis,170.65,NEP,RB,DionLewis181
183,Ronnie Hillman,171.32,DEN,RB,RonnieHillman183
184,Heath Miller,172.66,PIT,TE,HeathMiller184
185,Charles Clay,173.16,BUF,TE,CharlesClay185
186,Jaelen Strong,173.85,HOU,WR,JaelenStrong186
187,Maxx Williams,175.77,BAL,TE,MaxxWilliams187
189,Ladarius Green,176.98,SDC,TE,LadariusGreen189
190,Brandon Coleman,177.48,NOS,WR,BrandonColeman190
191,Dwayne Bowe,178.34,CLE,WR,DwayneBowe191
193,Cameron Artis-Payne,179.88,CAR,RB,CameronArtisPayne193
194,Terrance West,180.60,BAL,RB,TerranceWest194
195,Denard Robinson,180.70,JAC,RB,DenardRobinson195
197,Fred Jackson,181.32,SEA,RB,FredJackson197
198,Cordarrelle Patterson,181.35,MIN,WR,CordarrellePatterson198
199,Ty Montgomery,181.64,GBP,WR,TyMontgomery199
201,Alex Smith,182.43,KCC,QB,AlexSmith201
202,Christine Michael,183.91,SEA,RB,ChristineMichael202
204,Jonas Gray,184.55,JAC,RB,JonasGray204
205,Javorius Allen,184.77,BAL,RB,JavoriusAllen205
206,Blake Bortles,185.44,JAC,QB,BlakeBortles206
207,Theo Riddick,185.49,DET,RB,TheoRiddick207
208,Justin Blackmon,185.99,JAC,WR,JustinBlackmon208
209,Tyler Lockett,186.11,SEA,WR,TylerLockett209
212,Nick Foles,189.00,STL,QB,NickFoles212
214,Reggie Wayne,189.50,FA*,WR,ReggieWayne214
215,James Jones,190.13,GBP,WR,JamesJones215
