Rank,Player,Avg Pick,Team,Pos,UID
1,Antonio Brown,1.44,PIT,WR,AntonioBrown1
2,Odell Beckham,3.15,NYG,WR,OdellBeckham2
3,Julio Jones,3.88,ATL,WR,JulioJones3
4,Todd Gurley,5.70,RAM,RB,ToddGurley4
5,David Johnson,7.13,ARI,RB,DavidJohnson5
6,Ezekiel Elliott,7.89,DAL,RB,EzekielElliott6
7,DeAndre Hopkins,7.99,HOU,WR,DeAndreHopkins7
8,A.J. Green,8.46,CIN,WR,AJGreen8
9,Le'Veon Bell,11.35,PIT,RB,LeVeonBell9
10,Adrian Peterson,11.58,MIN,RB,AdrianPeterson10
11,Allen Robinson,12.99,JAC,WR,AllenRobinson11
12,Dez Bryant,13.45,DAL,WR,DezBryant12
13,Lamar Miller,13.72,HOU,RB,LamarMiller13
14,Devonta Freeman,17.92,ATL,RB,DevontaFreeman14
15,Keenan Allen,19.62,SDC,WR,KeenanAllen15
16,Jordy Nelson,19.82,GBP,WR,JordyNelson16
17,Mike Evans,20.15,TBB,WR,MikeEvans17
18,Brandon Marshall,21.72,NYJ,WR,BrandonMarshall18
19,Amari Cooper,22.66,OAK,WR,AmariCooper19
20,Jamaal Charles,22.83,KCC,RB,JamaalCharles20
21,Alshon Jeffery,23.61,CHI,WR,AlshonJeffery21
22,Brandin Cooks,25.91,NOS,WR,BrandinCooks22
23,Eddie Lacy,26.57,GBP,RB,EddieLacy23
24,Mark Ingram,26.60,NOS,RB,MarkIngram24
25,T.Y. Hilton,28.21,IND,WR,TYHilton25
26,Cam Newton,29.05,CAR,QB,CamNewton26
27,LeSean McCoy,30.43,BUF,RB,LeSeanMcCoy27
28,Sammy Watkins,30.69,BUF,WR,SammyWatkins28
29,Demaryius Thomas,31.54,DEN,WR,DemaryiusThomas29
30,Jarvis Landry,34.84,MIA,WR,JarvisLandry30
31,Aaron Rodgers,35.67,GBP,QB,AaronRodgers31
32,Randall Cobb,36.26,GBP,WR,RandallCobb32
33,C.J. Anderson,37.94,DEN,RB,CJAnderson33
34,Jordan Reed,38.26,WAS,TE,JordanReed34
35,Julian Edelman,41.62,NEP,WR,JulianEdelman35
36,Kelvin Benjamin,41.75,CAR,WR,KelvinBenjamin36
37,Thomas Rawls,42.73,SEA,RB,ThomasRawls37
38,Carlos Hyde,44.02,SFO,RB,CarlosHyde38
39,Golden Tate,44.90,DET,WR,GoldenTate39
40,Jeremy Maclin,45.04,KCC,WR,JeremyMaclin40
41,Matt Forte,45.07,NYJ,RB,MattForte41
