,Player,Pos,Games,ADP,Pass Comp,Pass Att,Pass Yds,Pass Yds Per Game,Pass Yds Avg,Pass TD,Pass TD Per Game,Int,Rush Att,Rush Yds,Rush Yds Per Game,Rush Yds Avg,Rush TD,Rush TD Per Game,Rec,Rec Yds,Rec Yds Per Game,Rec Yds Avg,Rec TD,Rec TD Per Game,Fumbles Lost,Fantasy Total,Fantasy Avg,UID,Rush Avg,Rec Avg
0,Mark Ingram,RB,16,26.60,0,0,0,0.0,0,0,0.0,0,205,1043,65.1875,0,6,0.375,46,319,19.9375,0,4,0.25,2,192.20000000000005,12.012500000000003,MarkIngram24,5.087804878048781,6.934782608695652
0,T.Y. Hilton,WR,16,28.21,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,91,1448,90.5,0,6,0.375,0,180.80000000000004,11.300000000000002,TYHilton25,15.912087912087912
0,Cam Newton,QB,16,29.05,270,510,3509,219.3125,12.996296296296297,19,1.1875,14,90,359,22.4375,0,5,0.3125,0,0,0.0,0,0,0.0,2,250.26000000000002,15.641250000000001,CamNewton26,3.988888888888889
0,LeSean McCoy,RB,16,30.43,0,0,0,0.0,0,0,0.0,0,234,1267,79.1875,0,13,0.8125,51,356,22.25,0,1,0.0625,0,246.3,15.39375,LeSeanMcCoy27,5.414529914529915,6.980392156862745
0,Sammy Watkins,WR,9,30.69,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,28,430,47.77777777777778,0,2,0.2222222222222222,0,55.0,6.111111111111111,SammyWatkins28,15.357142857142858
0,Demaryius Thomas,WR,16,31.54,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,90,1083,67.6875,0,5,0.3125,2,134.29999999999998,8.393749999999999,DemaryiusThomas29,12.033333333333333
0,Jarvis Landry,WR,16,34.84,0,0,0,0.0,0,0,0.0,0,5,17,1.0625,0,0,0.0,94,1136,71.0,0,4,0.25,2,135.29999999999998,8.456249999999999,JarvisLandry30,3.4,12.085106382978724
0,Aaron Rodgers,QB,16,35.67,401,610,4428,276.75,11.042394014962593,40,2.5,7,67,369,23.0625,0,4,0.25,0,0,0.0,0,0,0.0,4,376.02,23.50125,AaronRodgers31,5.507462686567164
0,Randall Cobb,WR,16,36.26,0,0,0,0.0,0,0,0.0,0,10,33,2.0625,0,0,0.0,60,610,38.125,0,4,0.25,0,88.3,5.51875,RandallCobb32,3.3,10.166666666666666
0,C.J. Anderson,RB,7,37.94,0,0,0,0.0,0,0,0.0,0,110,437,62.42857142857143,0,4,0.5714285714285714,16,128,18.285714285714285,0,1,0.14285714285714285,0,86.5,12.357142857142858,CJAnderson33,3.9727272727272727,8.0
0,Jordan Reed,TE,16,38.26,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,66,686,42.875,0,6,0.375,1,102.6,6.4125,JordanReed34,10.393939393939394
0,Julian Edelman,WR,16,41.62,0,0,0,0.0,0,0,0.0,0,12,57,3.5625,0,0,0.0,98,1106,69.125,0,3,0.1875,2,130.3,8.14375,JulianEdelman35,4.75,11.285714285714286
0,Kelvin Benjamin,WR,16,41.75,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,63,941,58.8125,0,7,0.4375,1,134.1,8.38125,KelvinBenjamin36,14.936507936507937
0,Thomas Rawls,RB,16,42.73,0,0,0,0.0,0,0,0.0,0,109,349,21.8125,0,3,0.1875,13,96,6.0,0,0,0.0,0,62.49999999999999,3.9062499999999996,ThomasRawls37,3.2018348623853212,7.384615384615385
0,Carlos Hyde,RB,15,44.02,0,0,0,0.0,0,0,0.0,0,217,988,65.86666666666666,0,6,0.4,27,163,10.866666666666667,0,3,0.2,3,163.09999999999997,10.873333333333331,CarlosHyde38,4.552995391705069,6.037037037037037
0,Golden Tate,WR,16,44.90,0,0,0,0.0,0,0,0.0,0,10,4,0.25,0,0,0.0,91,1077,67.3125,0,4,0.25,1,130.1,8.13125,GoldenTate39,0.4,11.835164835164836
0,Jeremy Maclin,WR,16,45.04,0,0,0,0.0,0,0,0.0,0,1,-1,-0.0625,0,0,0.0,44,536,33.5,0,2,0.125,0,65.5,4.09375,JeremyMaclin40,-1.0,12.181818181818182
0,Matt Forte,RB,15,45.07,0,0,0,0.0,0,0,0.0,0,218,813,54.2,0,7,0.4666666666666667,30,263,17.533333333333335,0,1,0.06666666666666667,1,153.60000000000002,10.240000000000002,MattForte41,3.729357798165138,8.766666666666667
0,Latavius Murray,RB,16,46.46,0,0,0,0.0,0,0,0.0,0,195,788,49.25,0,12,0.75,33,264,16.5,0,0,0.0,1,175.2,10.95,LataviusMurray42,4.041025641025641,8.0
0,Donte Moncrief,WR,16,47.25,0,0,0,0.0,0,0,0.0,0,1,-1,-0.0625,0,0,0.0,30,307,19.1875,0,7,0.4375,0,72.6,4.5375,DonteMoncrief43,-1.0,10.233333333333333
0,Doug Baldwin,WR,16,47.51,0,0,0,0.0,0,0,0.0,0,3,2,0.125,0,0,0.0,94,1128,70.5,0,7,0.4375,0,155.0,9.6875,DougBaldwin44,0.6666666666666666,12.0
0,Greg Olsen,TE,16,49.87,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,80,1073,67.0625,0,3,0.1875,0,125.30000000000003,7.831250000000002,GregOlsen45,13.4125
0,Andrew Luck,QB,16,50.38,346,545,4240,265.0,12.254335260115607,31,1.9375,13,64,341,21.3125,0,2,0.125,0,0,0.0,0,0,0.0,5,303.7000000000001,18.981250000000006,AndrewLuck46,5.328125
0,Russell Wilson,QB,16,50.54,353,546,4219,263.6875,11.951841359773372,21,1.3125,11,72,259,16.1875,0,1,0.0625,0,0,0.0,0,0,0.0,2,258.65999999999997,16.166249999999998,RussellWilson47,3.5972222222222223
0,DeMarco Murray,RB,16,52.90,0,0,0,0.0,0,0,0.0,0,293,1287,80.4375,0,9,0.5625,53,377,23.5625,0,3,0.1875,1,236.4,14.775,DeMarcoMurray48,4.392491467576792,7.113207547169812
0,Eric Decker,WR,5,53.55,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,9,194,38.8,0,2,0.4,0,31.400000000000002,6.28,EricDecker49,21.555555555555557
0,Michael Floyd,WR,16,55.18,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,37,488,30.5,0,5,0.3125,0,78.8,4.925,MichaelFloyd50,13.18918918918919
0,Larry Fitzgerald,WR,16,58.77,0,0,0,0.0,0,0,0.0,0,2,5,0.3125,0,0,0.0,107,1023,63.9375,0,6,0.375,1,136.8,8.55,LarryFitzgerald51,2.5,9.560747663551401
