,Player,Pos,Games,ADP,Pass Comp,Pass Att,Pass Yds,Pass Yds Per Game,Pass Yds Avg,Pass TD,Pass TD Per Game,Int,Rush Att,Rush Yds,Rush Yds Per Game,Rush Yds Avg,Rush TD,Rush TD Per Game,Rec,Rec Yds,Rec Yds Per Game,Rec Yds Avg,Rec TD,Rec TD Per Game,Fumbles Lost,Fantasy Total,Fantasy Avg,UID,Rush Avg,Rec Avg
0,Saquon Barkley,RB,16,1.47,0,0,0,0.0,0,0,0.0,0,217.0,1003.0,62.6875,0,6.0,0.375,52.0,438.0,27.375,0,2.0,0.125,0.0,192.10000000000002,12.006250000000001,SaquonBarkley1,4.622119815668203,8.423076923076923
0,Alvin Kamara,RB,16,2.74,0,0,0,0.0,0,0,0.0,0,171.0,797.0,49.8125,0,5.0,0.3125,81.0,533.0,33.3125,0,1.0,0.0625,1.0,167.00000000000003,10.4375,AlvinKamara2,4.6608187134502925,6.580246913580247
0,Christian McCaffrey,RB,16,2.76,0,0,0,0.0,0,0,0.0,0,287,1387,86.6875,0,15,0.9375,116,1005,62.8125,0,4,0.25,0.0,353.20000000000005,22.075,ChristianMcCaffrey3,4.832752613240418,8.663793103448276
0,Ezekiel Elliott,RB,16,5.41,0,0,0,0.0,0,0,0.0,0,301,1357,84.8125,0,12,0.75,54.0,420.0,26.25,0,2.0,0.125,2.0,257.7,16.10625,EzekielElliott4,4.5083056478405314,7.777777777777778
0,DeAndre Hopkins,WR,16,6.16,0,0,0,0.0,0,0,0.0,0,2.0,18.0,1.125,0,0.0,0.0,104.0,1165.0,72.8125,0,7.0,0.4375,0.0,160.3,10.018750000000002,DeAndreHopkins5,9.0,11.201923076923077
0,Davante Adams,WR,16,9.18,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,83.0,997.0,62.3125,0,5.0,0.3125,1.0,127.70000000000002,7.98125,DavanteAdams6,12.012048192771084
0,David Johnson,RB,16,10.20,0,0,0,0.0,0,0,0.0,0,94.0,345.0,21.5625,0,2.0,0.125,36.0,370.0,23.125,0,4.0,0.25,1.0,105.5,6.59375,DavidJohnson7,3.6702127659574466,10.277777777777779
0,James Conner,RB,16,10.36,0,0,0,0.0,0,0,0.0,0,116.0,464.0,29.0,0,4.0,0.25,34.0,251.0,15.6875,0,3.0,0.1875,1.0,111.5,6.968749999999999,JamesConner8,4.0,7.382352941176471
0,Le'Veon Bell,RB,16,10.84,0,0,0,0.0,0,0,0.0,0,245.0,789.0,49.3125,0,3.0,0.1875,66.0,461.0,28.8125,0,1.0,0.0625,1.0,147.0,9.1875,LeVeonBell9,3.220408163265306,6.984848484848484
0,Michael Thomas,WR,16,11.67,0,0,0,0.0,0,0,0.0,0,1.0,-9.0,-0.5625,0,0.0,0.0,149,1725,107.8125,0,9,0.5625,0.0,225.6,14.100000000000001,MichaelThomas10,-9.0,11.577181208053691
0,Julio Jones,WR,16,12.61,0,0,0,0.0,0,0,0.0,0,2.0,-3.0,-0.1875,0,0.0,0.0,99.0,1394.0,87.125,0,6.0,0.375,0.0,175.10000000000002,10.94375,JulioJones11,-1.5,14.080808080808081
0,Odell Beckham,WR,16,13.66,0,0,0,0.0,0,0,0.0,0,3.0,10.0,0.625,0,0.0,0.0,74,1035,64.6875,0,4,0.25,1.0,126.50000000000003,7.906250000000002,OdellBeckham12,3.3333333333333335,13.986486486486486
0,Patrick Mahomes,QB,16,13.83,319.0,484.0,4031.0,251.9375,12.636363636363637,26.0,1.625,5.0,43.0,218.0,13.625,0,2.0,0.125,0,0,0.0,0,0,0.0,2.0,285.03999999999996,17.815,PatrickMahomes13,5.069767441860465
0,Todd Gurley,RB,16,14.28,0,0,0,0.0,0,0,0.0,0,223.0,857.0,53.5625,0,12.0,0.75,31.0,207.0,12.9375,0,2.0,0.125,2.0,186.4,11.650000000000002,ToddGurley14,3.8430493273542603,6.67741935483871
0,JuJu Smith-Schuster,WR,16,15.17,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,42.0,552.0,34.5,0,3.0,0.1875,1.0,71.2,4.45,JuJuSmithSchuster15,13.142857142857142
0,Travis Kelce,TE,16,16.33,0,0,0,0.0,0,0,0.0,0,1.0,4.0,0.25,0,1.0,0.0625,97,1229,76.8125,0,5,0.3125,1.0,157.3,9.83125,TravisKelce16,4.0,12.670103092783505
0,Nick Chubb,RB,16,16.69,0,0,0,0.0,0,0,0.0,0,298,1494,93.375,0,8,0.5,36,278,17.375,0,0,0.0,3.0,219.2,13.7,NickChubb17,5.0134228187919465,7.722222222222222
0,Dalvin Cook,RB,16,17.02,0,0,0,0.0,0,0,0.0,0,250.0,1135.0,70.9375,0,13.0,0.8125,53.0,519.0,32.4375,0,0.0,0.0,2.0,239.4,14.9625,DalvinCook18,4.54,9.79245283018868
0,Tyreek Hill,WR,16,19.06,0,0,0,0.0,0,0,0.0,0,8.0,23.0,1.4375,0,0.0,0.0,58.0,860.0,53.75,0,7.0,0.4375,0.0,130.3,8.143749999999999,TyreekHill19,2.875,14.827586206896552
0,Joe Mixon,RB,16,19.79,0,0,0,0.0,0,0,0.0,0,278,1137,71.0625,0,5,0.3125,35.0,287.0,17.9375,0,3.0,0.1875,0.0,190.4,11.9,JoeMixon20,4.089928057553957,8.2
0,Leonard Fournette,RB,16,25.96,0,0,0,0.0,0,0,0.0,0,265.0,1152.0,72.0,0,3.0,0.1875,76.0,522.0,32.625,0,0.0,0.0,1.0,183.40000000000003,11.462500000000002,LeonardFournette21,4.347169811320755,6.868421052631579
0,Damien Williams,RB,16,27.50,0,0,0,0.0,0,0,0.0,0,265.0,1152.0,72.0,0,3.0,0.1875,76.0,522.0,32.625,0,0.0,0.0,1.0,183.40000000000003,11.462500000000002,DamienWilliams22,4.347169811320755,6.868421052631579
0,Zach Ertz,TE,16,27.84,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,88.0,916.0,57.25,0,6.0,0.375,1.0,125.6,7.8500000000000005,ZachErtz23,10.409090909090908
0,Adam Thielen,WR,16,28.01,0,0,0,0.0,0,0,0.0,0,4.0,6.0,0.375,0,1.0,0.0625,30.0,418.0,26.125,0,6.0,0.375,0.0,84.4,5.275,AdamThielen24,1.5,13.933333333333334
0,Keenan Allen,WR,16,30.19,0,0,0,0.0,0,0,0.0,0,3.0,16.0,1.0,0,0.0,0.0,104,1199,74.9375,0,6,0.375,0.0,157.5,9.843749999999998,KeenanAllen25,5.333333333333333,11.528846153846153
0,Stefon Diggs,WR,16,31.28,0,0,0,0.0,0,0,0.0,0,5.0,61.0,3.8125,0,0.0,0.0,63.0,1130.0,70.625,0,6.0,0.375,3.0,149.10000000000002,9.31875,StefonDiggs26,12.2,17.936507936507937
0,George Kittle,TE,16,32.42,0,0,0,0.0,0,0,0.0,0,5.0,22.0,1.375,0,0.0,0.0,85.0,1053.0,65.8125,0,5.0,0.3125,0.0,137.5,8.593750000000002,GeorgeKittle27,4.4,12.388235294117647
0,Aaron Jones,RB,16,32.50,0,0,0,0.0,0,0,0.0,0,236,1084,67.75,0,16,1.0,49.0,474.0,29.625,0,3.0,0.1875,2.0,265.79999999999995,16.6125,AaronJones28,4.593220338983051,9.673469387755102
0,Amari Cooper,WR,16,32.81,0,0,0,0.0,0,0,0.0,0,1.0,6.0,0.375,0,0.0,0.0,79,1189,74.3125,0,8,0.5,0.0,167.5,10.468750000000002,AmariCooper29,6.0,15.050632911392405
0,Deshaun Watson,QB,16,34.21,333.0,495.0,3852.0,240.75,11.567567567567568,26.0,1.625,12.0,82.0,413.0,25.8125,0,7.0,0.4375,0,0,0.0,0,0,0.0,3.0,311.38,19.461250000000003,DeshaunWatson30,5.036585365853658
0,Melvin Gordon,RB,13,34.93,0,0,0,0.0,0,0,0.0,0,162.0,612.0,47.07692307692308,0,8.0,0.6153846153846154,42.0,296.0,22.76923076923077,0,1.0,0.07692307692307693,3.0,138.8,10.676923076923078,MelvinGordon31,3.7777777777777777,7.0476190476190474
0,Josh Jacobs,RB,16,38.33,0,0,0,0.0,0,0,0.0,0,242.0,1150.0,71.875,0,7.0,0.4375,20.0,166.0,10.375,0,0.0,0.0,1.0,171.60000000000002,10.725000000000001,JoshJacobs32,4.75206611570248,8.3
0,Brandin Cooks,WR,16,38.88,0,0,0,0.0,0,0,0.0,0,6.0,52.0,3.25,0,0.0,0.0,42.0,583.0,36.4375,0,2.0,0.125,0.0,75.5,4.71875,BrandinCooks33,8.666666666666666,13.880952380952381
0,Devonta Freeman,RB,16,38.89,0,0,0,0.0,0,0,0.0,0,184.0,656.0,41.0,0,2.0,0.125,59.0,410.0,25.625,0,4.0,0.25,2.0,138.60000000000002,8.662500000000001,DevontaFreeman34,3.5652173913043477,6.9491525423728815
0,Derrick Henry,RB,16,40.70,0,0,0,0.0,0,0,0.0,0,303.0,1540.0,96.25,0,16.0,1.0,18.0,206.0,12.875,0,2.0,0.125,3.0,276.6,17.287499999999998,DerrickHenry35,5.082508250825082,11.444444444444445
0,Marlon Mack,RB,16,40.93,0,0,0,0.0,0,0,0.0,0,247.0,1091.0,68.1875,0,8.0,0.5,14.0,82.0,5.125,0,0.0,0.0,0.0,165.3,10.331249999999999,MarlonMack36,4.417004048582996,5.857142857142857
