Rank,Player,Avg Pick,Team,Pos,UID
1,Christian McCaffrey,1.32,CAR,RB,ChristianMcCaffrey1
2,Saquon Barkley,2.67,NYG,RB,SaquonBarkley2
3,Ezekiel Elliott,3.95,DAL,RB,EzekielElliott3
4,Michael Thomas,6.11,NOS,WR,MichaelThomas4
5,Alvin Kamara,6.76,NOS,RB,AlvinKamara5
6,Dalvin Cook,7.66,MIN,RB,DalvinCook6
7,Patrick Mahomes,9.45,KCC,QB,PatrickMahomes7
8,Derrick Henry,9.69,TEN,RB,DerrickHenry8
9,Lamar Jackson,10.68,BAL,QB,LamarJackson9
10,Davante Adams,12.45,GBP,WR,DavanteAdams10
11,Clyde Edwards-Helaire,15.92,KCC,RB,ClydeEdwardsHelaire11
12,Joe Mixon,16.54,CIN,RB,JoeMixon12
13,Josh Jacobs,16.55,LVR,RB,JoshJacobs13
14,Tyreek Hill,17.10,KCC,WR,TyreekHill14
15,Travis Kelce,17.42,KCC,TE,TravisKelce15
16,Nick Chubb,17.64,CLE,RB,NickChubb16
17,Aaron Jones,18.06,GBP,RB,AaronJones17
18,DeAndre Hopkins,18.18,ARI,WR,DeAndreHopkins18
19,Julio Jones,19.06,ATL,WR,JulioJones19
20,Austin Ekeler,19.77,LAC,RB,AustinEkeler20
21,Miles Sanders,20.52,PHI,RB,MilesSanders21
22,George Kittle,22.26,SFO,TE,GeorgeKittle22
23,Kenyan Drake,23.18,ARI,RB,KenyanDrake23
24,Chris Godwin,24.83,TBB,WR,ChrisGodwin24
25,Mike Evans,29.44,TBB,WR,MikeEvans25
26,Kenny Golladay,31.23,DET,WR,KennyGolladay26
27,Deshaun Watson,32.25,HOU,QB,DeshaunWatson27
28,Amari Cooper,34.15,DAL,WR,AmariCooper28
29,Todd Gurley,34.31,ATL,RB,ToddGurley29
30,Dak Prescott,36.31,DAL,QB,DakPrescott30
31,JuJu Smith-Schuster,36.43,PIT,WR,JuJuSmithSchuster31
32,Odell Beckham,36.49,CLE,WR,OdellBeckham32
33,Jonathan Taylor,39.12,IND,RB,JonathanTaylor33
34,Leonard Fournette,39.28,TBB,RB,LeonardFournette34
35,D.J. Moore,40.37,CAR,WR,DJMoore35
36,Allen Robinson,41.01,CHI,WR,AllenRobinson36
37,Cooper Kupp,41.20,LAR,WR,CooperKupp37
38,Russell Wilson,41.27,SEA,QB,RussellWilson38
39,Adam Thielen,42.32,MIN,WR,AdamThielen39
40,James Conner,43.07,PIT,RB,JamesConner40
41,Mark Andrews,43.85,BAL,TE,MarkAndrews41
42,Chris Carson,45.66,SEA,RB,ChrisCarson42
43,A.J. Brown,46.41,TEN,WR,AJBrown43
44,Kyler Murray,47.17,ARI,QB,KylerMurray44
45,Zach Ertz,47.35,PHI,TE,ZachErtz45
46,Le'Veon Bell,47.40,KCC,RB,LeVeonBell46
47,David Johnson,47.70,HOU,RB,DavidJohnson47
48,Calvin Ridley,48.77,ATL,WR,CalvinRidley48
49,Melvin Gordon,51.69,DEN,RB,MelvinGordon49
50,Raheem Mostert,52.37,SFO,RB,RaheemMostert50
51,Cam Akers,53.72,LAR,RB,CamAkers51
52,Robert Woods,53.83,LAR,WR,RobertWoods52
53,Keenan Allen,54.78,LAC,WR,KeenanAllen53
54,Tyler Lockett,55.05,SEA,WR,TylerLockett54
55,DK Metcalf,56.26,SEA,WR,DKMetcalf55
56,Mark Ingram,56.62,FA,RB,MarkIngram56
57,Devin Singletary,58.16,BUF,RB,DevinSingletary57
58,Courtland Sutton,58.55,DEN,WR,CourtlandSutton58
59,Stefon Diggs,61.32,BUF,WR,StefonDiggs59
60,D.J. Chark,61.69,JAC,WR,DJChark60
61,Terry McLaurin,63.79,WAS,WR,TerryMcLaurin61
62,Darren Waller,64.72,LVR,TE,DarrenWaller62
63,Kareem Hunt,67.73,CLE,RB,KareemHunt63
64,DeVante Parker,69.25,MIA,WR,DeVanteParker64
65,Matt Ryan,70.67,ATL,QB,MattRyan65
66,Josh Allen,70.75,BUF,QB,JoshAllen66
67,A.J. Green,73.03,CIN,WR,AJGreen67
68,D'Andre Swift,73.26,DET,RB,DAndreSwift68
69,Drew Brees,73.29,NOS,QB,DrewBrees69
70,T.Y. Hilton,73.38,IND,WR,TYHilton70
71,J.K. Dobbins,76.61,BAL,RB,JKDobbins71
72,David Montgomery,77.02,CHI,RB,DavidMontgomery72
73,Evan Engram,77.32,NYG,TE,EvanEngram73
74,Jarvis Landry,77.87,CLE,WR,JarvisLandry74
75,Aaron Rodgers,78.02,GBP,QB,AaronRodgers75
76,Tom Brady,78.62,TBB,QB,TomBrady76
77,Tyler Boyd,78.96,CIN,WR,TylerBoyd77
78,Michael Gallup,79.47,DAL,WR,MichaelGallup78
79,Marquise Brown,80.93,BAL,WR,MarquiseBrown79
80,Carson Wentz,82.26,PHI,QB,CarsonWentz80
81,Rob Gronkowski,86.54,TBB,TE,RobGronkowski81
82,Brandin Cooks,89.44,HOU,WR,BrandinCooks82
83,Julian Edelman,90.61,NEP,WR,JulianEdelman83
84,Hunter Henry,92.91,LAC,TE,HunterHenry84
85,James White,93.83,NEP,RB,JamesWhite85
86,Jared Cook,93.91,NOS,TE,JaredCook86
87,Will Fuller,94.34,HOU,WR,WillFuller87
88,CeeDee Lamb,96.02,DAL,WR,CeeDeeLamb88
89,Deebo Samuel,97.78,SFO,WR,DeeboSamuel89
90,Matthew Stafford,98.31,LAR,QB,MatthewStafford90
91,Ronald Jones,98.40,TBB,RB,RonaldJones91
92,Derrius Guice,98.84,FA,RB,DerriusGuice92
93,Tyler Higbee,99.44,LAR,TE,TylerHigbee93
94,Austin Hooper,99.58,CLE,TE,AustinHooper94
95,Jordan Howard,100.52,PHI,RB,JordanHoward95
96,Daniel Jones,100.65,NYG,QB,DanielJones96
97,Hayden Hurst,102.04,ATL,TE,HaydenHurst97
98,Tarik Cohen,102.42,CHI,RB,TarikCohen98
99,Kerryon Johnson,102.84,DET,RB,KerryonJohnson99
100,Jerry Jeudy,103.32,DEN,WR,JerryJeudy100
102,Antonio Gibson,104.58,WAS,RB,AntonioGibson102
103,Marlon Mack,105.07,IND,RB,MarlonMack103
104,Marvin Jones,106.11,DET,WR,MarvinJones104
106,Christian Kirk,107.77,ARI,WR,ChristianKirk106
107,Baker Mayfield,108.24,CLE,QB,BakerMayfield107
108,Diontae Johnson,110.20,PIT,WR,DiontaeJohnson108
109,Jared Goff,110.87,DET,QB,JaredGoff109
110,Phillip Lindsay,111.27,DEN,RB,PhillipLindsay110
112,Joe Burrow,113.22,CIN,QB,JoeBurrow112
113,Noah Fant,114.64,DEN,TE,NoahFant113
114,Henry Ruggs,114.70,LVR,WR,HenryRuggs114
115,Zack Moss,114.96,BUF,RB,ZackMoss115
117,Darius Slayton,117.17,NYG,WR,DariusSlayton117
118,Sterling Shepard,117.34,NYG,WR,SterlingShepard118
119,Emmanuel Sanders,118.82,NOS,WR,EmmanuelSanders119
120,Ben Roethlisberger,119.47,PIT,QB,BenRoethlisberger120
121,Cam Newton,119.56,NEP,QB,CamNewton121
122,Sony Michel,120.16,NEP,RB,SonyMichel122
123,Justin Jefferson,120.25,MIN,WR,JustinJefferson123
125,T.J. Hockenson,123.04,DET,TE,TJHockenson125
126,Jamison Crowder,124.04,NYJ,WR,JamisonCrowder126
127,Ryan Tannehill,124.28,TEN,QB,RyanTannehill127
128,Golden Tate,124.31,NYG,WR,GoldenTate128
130,Kirk Cousins,124.92,MIN,QB,KirkCousins130
131,Jimmy Garoppolo,125.73,SFO,QB,JimmyGaroppolo131
132,Mecole Hardman,126.88,KCC,WR,MecoleHardman132
133,Tua Tagovailoa,126.91,MIA,QB,TuaTagovailoa133
134,Mike Gesicki,127.17,MIA,TE,MikeGesicki134
135,Drew Lock,127.22,DEN,QB,DrewLock135
136,Ke'Shawn Vaughn,128.22,TBB,RB,KeShawnVaughn136
137,Sam Darnold,128.74,NYJ,QB,SamDarnold137
139,Alexander Mattison,129.93,MIN,RB,AlexanderMattison139
140,Matt Breida,130.01,MIA,RB,MattBreida140
141,Damien Williams,130.61,KCC,RB,DamienWilliams141
142,Latavius Murray,132.17,NOS,RB,LataviusMurray142
143,Jalen Reagor,132.29,PHI,WR,JalenReagor143
144,John Brown,132.88,BUF,WR,JohnBrown144
145,Blake Jarwin,134.25,DAL,TE,BlakeJarwin145
146,Tevin Coleman,136.44,SFO,RB,TevinColeman146
147,Teddy Bridgewater,136.60,CAR,QB,TeddyBridgewater147
148,Dallas Goedert,137.29,PHI,TE,DallasGoedert148
150,Philip Rivers,138.38,FA,QB,PhilipRivers150
151,Gardner Minshew,139.67,JAC,QB,GardnerMinshew151
